customer,name,name_norm,terms,terms_description,ship_via,def_wh,div,active,addr1,city,state,postal
GLOBUS,GLOBUS SB-WARENHAUS HOLDING GMBH & CO KG,GLOBUSSBWARENHAUSHOLDINGGMBHCOKG,C3,CIT NET 30,TRUCK,,,Y,LEIPZIGER STRASSE 8,ST. WENDEL,DE,66606
GLODENSTEL,GOLDEN STELLA,GOLDENSTELLA,30,NET 30,,,,N,250 SPRING STREET NW #5N 103,ATLANTA,GA,30303
GLOHAN,GOLAND AGENCIES,GOLANDAGENCIES,30,NET 30,,,,N,OCEANAIRE INTERNATIONAL SERV. INC.,MIAMI,FL,33266
GOJANE,GO JANE,GOJANE,,,,,,N,126 VIATRAVEZIO,CORONA,CA,92879
GOLDCITY,GOLD CITY,GOLDCITY,60,NET 60,,,,N,CATON MALL 2ND FLOOR LOCAL C2B,BAYAMON,PR,00961
GOLDCOAST,GOLD COAST,GOLDCOAST,CC,CREDIT CARD,,,,N,261 ALTERNATE 19 S,PALM HARBOR,FL,34683
GOLDCP,GOLD COAST PROMOTIONS,GOLDCOASTPROMOTIONS,CC,CREDIT CARD,,,,N,261 ALT 19 S,PALM HARBOR,FL,34683
GOLDDEPOT,GOLD DEPOT,GOLDDEPOT,30,NET 30,,,,N,7500 BELLAIRE BLVD. SUITE#210,HOUSTON,TX,77036
GOLDENCROS,GOLDEN CROSS,GOLDENCROSS,CC,CREDIT CARD,,,,N,5139 - 43 N. 5TH STREET,PHILADELPHIA,PA,19120
GOLDENTANS,GOLDENTANS,GOLDENTANS,CC,CREDIT CARD,,,,N,6384 NORTH LOCKWOOD RIDGE RD,SARASOTA,FL,34243
GOLDENTOUC,GOLDEN TOUCH VARIETY SHOP,GOLDENTOUCHVARIETYSHOP,CC,CREDIT CARD,,,,N,R.L.B. INTERNATIONAL AIR PORT,BASSETERRE,XX,XXXXX
GOLDGEM,GOLD GEM RAPIDO,GOLDGEMRAPIDO,CC,CREDIT CARD,,,,N,PLAZA CAROLINA MALL,CAROLINA,PR,00988
GOLDVALLEY,GOLD VALLEY JEWELRY,GOLDVALLEYJEWELRY,CC,CREDIT CARD,,,,N,2300 BERNADETTE DRIVE,COLOMBIA,MO,65203
GOOD,SAMARITION HOSPITAL GIFT SHOP,SAMARITIONHOSPITALGIFTSHOP,30,NET 30,,,,N,255 LAFAYETTE AVE.,SUFFERN,NY,10901
GOODYS,GOODY,GOODY,,,,,,N,400 GOODY AVENUE,KNOXVILLE,TN,37933
GOOGLEEXP,GOOGLE EXPRESS,GOOGLEEXPRESS,15,NET 15 DAYS,,,,Y,1600 AMPHITHEATRE PARKWAY,MOUNTAIN VIEW,CA,94043
